post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_bctitle,meta:_yoast_wpseo_meta-robots-adv,meta:_yoast_wpseo_is_cornerstone,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_linkdex,meta:_yoast_wpseo_estimated-reading-time-minutes,meta:_yoast_wpseo_content_score,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metakeywords,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:Смаки,attribute_data:Смаки,attribute_default:Смаки
КВАТРОФОРМАДЖІ,kvatroformadzhi-br-div-class-ingradient-sous-vershkovyj-syr-motsarela-syr-parmezan-syr-dor-blyu-feta-div,,18964,,"&nbsp;
<div class=""ingradient"">соус вершковий, сир моцарела, сир пармезан, сир дор блю, фета</div>",publish,,0,"2020-03-14 08:49:07",7,closed,,,,no,no,,179,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tyk-tyk.biz/wp-content/uploads/2020/03/syrna.jpeg ! alt :  ! title : сирна ! desc :  ! caption : ",,https://tyk-tyk.biz/test-market/kvatroformadzhi-br-div-class-ingradient-sous-vershkovyj-syr-motsarela-syr-parmezan-syr-dor-blyu-feta-div/,,,,,,,,,60,,,simple,,"TERRASA|TERRASA > ПІЦА",,,,,
"ЧІЛІ ПЕПЕРОНІ",chili-paperoni-br-div-class-ingradient-kovbasa-salyami-syr-motsarela-perets-bolgarskyj-perets-chyli-div,,18965,,"&nbsp;
<div class=""ingradient"">ковбаса салямі, сир моцарела, перець болгарський, перець чилі</div>",publish,,0,"2020-03-14 08:49:49",7,closed,,,,no,no,,169,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tyk-tyk.biz/wp-content/uploads/2020/03/chili.jpeg ! alt :  ! title : чілі ! desc :  ! caption : ",,https://tyk-tyk.biz/test-market/chili-paperoni-br-div-class-ingradient-kovbasa-salyami-syr-motsarela-perets-bolgarskyj-perets-chyli-div/,,,,,,,,,60,,,simple,,"TERRASA|TERRASA > ПІЦА",,,,,
"ШАУРМА ВЕГА",shaurma-vega-br-div-class-ingradient-lavash-salat-pomidor-tsybulya-marynovana-ogirok-syr-olyvky-chorni-ta-zeleni-sous-dzadzyki-div,,19382,,"&nbsp;
<div class=""ingradient"">лаваш, салат, помідор, огірок, сир, оливки чорні та зелені, соус дзадзикі</div>",publish,,0,"2020-03-21 07:05:55",2,closed,,,,no,no,,140,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/shaurma-vega-br-div-class-ingradient-lavash-salat-pomidor-tsybulya-marynovana-ogirok-syr-olyvky-chorni-ta-zeleni-sous-dzadzyki-div/,,,,,,,,,,,,simple,,"PICCADILLY > ШАУРМА|PICCADILLY",,,,,
"ХОТ-ДОГ В ЛАВАШІ ПОДВІЙНИЙ МОЛОЧНИЙ",hot-dog-v-lavashi-podvijnyj-br-div-class-ingradient-lavash-2-sosysky-salat-ogirok-pomidor-sousy-div,,19384,,"&nbsp;
<div class=""ingradient"">лаваш, 2 сосиски, салат, огірок, помідор, соуси</div>",publish,,0,"2020-03-21 07:12:39",2,closed,,,,no,no,,210,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/hot-dog-v-lavashi-podvijnyj-br-div-class-ingradient-lavash-2-sosysky-salat-ogirok-pomidor-sousy-div/,,,,,,,,,,,,simple,,"PICCADILLY > Хот-Доги|PICCADILLY",,,,,
"ХОТ-ДОГ В ЛАВАШІ БАВАРСЬКИЙ",hot-dog-v-lavashi-bavarskyj-br-div-class-ingradient-lavash-sosyska-bavarska-salat-ogirok-pomidor-sousy-div,,19386,,"&nbsp;
<div class=""ingradient"">лаваш, сосиска баварська, салат, огірок, помідор, соуси</div>",publish,,0,"2020-03-21 07:14:25",2,closed,,,,no,no,,150,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/hot-dog-v-lavashi-bavarskyj-br-div-class-ingradient-lavash-sosyska-bavarska-salat-ogirok-pomidor-sousy-div/,,,,,,,,,,,,simple,,"PICCADILLY > Хот-Доги|PICCADILLY",,,,,
"ХОТ-ДОГ В ЛАВАШІ БАВАРСЬКИЙ ПОДВІЙНИЙ",hot-dog-v-lavashi-bavarskyj-podvijnyj-br-div-class-ingradient-lavash-2-bavarskyh-sosysky-salat-ogirok-pomidor-sousy-div,,19387,,"<br><div class=""ingradient"">лаваш, 2 баварських сосиски , салат, огірок, помідор, соуси</div>",publish,,0,"2020-03-21 07:15:29",2,closed,,,,no,no,,55,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/hot-dog-v-lavashi-bavarskyj-podvijnyj-br-div-class-ingradient-lavash-2-bavarskyh-sosysky-salat-ogirok-pomidor-sousy-div/,,,,,,,,,,,,simple,,"Не бажані",,,,,
"ХОТ-ДОГ В ЛАВАШІ МІКС",hot-dog-v-lavashi-miks-br-div-class-ingradient-div,,19389,,"&nbsp;
<div class=""ingradient"">лаваш, сосиска молочна, сосиска баварська, салат, помідор, огірок, соус</div>",publish,,0,"2020-03-21 07:17:01",2,closed,,,,no,no,,220,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/hot-dog-v-lavashi-miks-br-div-class-ingradient-div/,,,,,,,,,,,,simple,,"PICCADILLY > Хот-Доги|PICCADILLY",,,,,
"ГАМБУРГЕР PICADILLY",chikenburger-br-div-class-ingradient-bulochka-kotokta-kuryacha-salat-pomidor-ogirok-syr-sous-delikatnyj-div,,19390,,"&nbsp;
<div class=""ingradient"">чорна булочка, котлета яловича 2шт., салат, помідор, огірок, подвійний сир, соус делікатний/гострий</div>",publish,,0,"2020-03-21 07:19:10",2,closed,,,,no,no,,220,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/chikenburger-br-div-class-ingradient-bulochka-kotokta-kuryacha-salat-pomidor-ogirok-syr-sous-delikatnyj-div/,,,,,,,,,,,,simple,,"PICCADILLY > ГАМБУРГЕРИ|PICCADILLY",,,,,
"Макарони BARILLA 3",makarony-barilla-3-br-div-class-ingradient-spaghettini-500gr-div,,19541,,"<br><div class=""ingradient""> SPAGHETTINI, 500гр</div>",publish,,0,"2020-03-22 17:19:21",2,closed,,,,no,no,,35,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/makarony-barilla-3-br-div-class-ingradient-spaghettini-500gr-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > МАКАРОННІ ВИРОБИ|IMPOFOOD - продукти з європи",,,,,
"Макарони BARILLA 13",makarony-barilla-13-br-div-class-ingradient-bavette-linguine-vermishel-500gr-div,,19543,,"<br><div class=""ingradient""> BAVETTE/LINGUINE вермішель, 500гр</div>",publish,,0,"2020-03-23 06:32:33",2,closed,,,,no,no,,35,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/makarony-barilla-13-br-div-class-ingradient-bavette-linguine-vermishel-500gr-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > МАКАРОННІ ВИРОБИ|IMPOFOOD - продукти з європи",,,,,
"Макарони BARILLA 98",makarony-barilla-98-br-div-class-ingradient-fusilli-spiral-500gr-div,,19576,,"<br><div class=""ingradient""> FUSILLI спіраль, 500гр</div>",publish,,0,"2020-03-23 06:33:55",2,closed,,,,no,no,,35,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/makarony-barilla-98-br-div-class-ingradient-fusilli-spiral-500gr-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > МАКАРОННІ ВИРОБИ|IMPOFOOD - продукти з європи",,,,,
"Макарони REGGIA 19-20",makarony-reggia-19-20-br-div-class-ingradient-spaghetti-500g-div,,19577,,"<br><div class=""ingradient"">SPAGHETTI,500г</div>",publish,,0,"2020-03-23 06:36:37",2,closed,,,,no,no,,25,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/makarony-reggia-19-20-br-div-class-ingradient-spaghetti-500g-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > МАКАРОННІ ВИРОБИ|IMPOFOOD - продукти з європи",,,,,
"Макарони REGGIA 048",makarony-reggia-19-20-br-div-class-ingradient-fusilli-1kg-div-br-div-class-ingradient-spaghetti-500g-div,,19579,,"<br><div class=""ingradient""> FUSILLI, 1кг.</div>",publish,,0,"2020-03-23 06:38:08",2,closed,,,,no,no,,48,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/makarony-reggia-19-20-br-div-class-ingradient-fusilli-1kg-div-br-div-class-ingradient-spaghetti-500g-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > МАКАРОННІ ВИРОБИ|IMPOFOOD - продукти з європи",,,,,
"Макарони REGGIA 63",makarony-reggia-63-br-div-class-ingradient-cavatappi-500g-div,,19581,,"<br><div class=""ingradient"">CAVATAPPI, 500г</div>",publish,,0,"2020-03-23 06:42:12",2,closed,,,,no,no,,25,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/makarony-reggia-63-br-div-class-ingradient-cavatappi-500g-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > МАКАРОННІ ВИРОБИ|IMPOFOOD - продукти з європи",,,,,
"Макарони REGGIA 80",makarony-reggia-80-br-div-class-ingradient-stelline-500g-div,,19582,,"<br><div class=""ingradient"">STELLINE,500г</div>",publish,,0,"2020-03-23 06:43:08",2,closed,,,,no,no,,25,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/makarony-reggia-80-br-div-class-ingradient-stelline-500g-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > МАКАРОННІ ВИРОБИ|IMPOFOOD - продукти з європи",,,,,
"Макарони REGGIA 20",makarony-reggia-20-br-div-class-ingradient-spaghettini-500g-div,,19583,,"<br><div class=""ingradient""> SPAGHETTINI, 500г</div>",publish,,0,"2020-03-23 06:44:11",2,closed,,,,no,no,,25,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/makarony-reggia-20-br-div-class-ingradient-spaghettini-500g-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > МАКАРОННІ ВИРОБИ|IMPOFOOD - продукти з європи",,,,,
"Макарони REGGIA 5",makarony-reggia-5-br-div-class-ingradient-linguine-500g-div,,19584,,"<br><div class=""ingradient"">LINGUINE,500г</div>",publish,,0,"2020-03-23 06:45:01",2,closed,,,,no,no,,25,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/makarony-reggia-5-br-div-class-ingradient-linguine-500g-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > МАКАРОННІ ВИРОБИ|IMPOFOOD - продукти з європи",,,,,
"Макарони BARILLA 83",makarony-barilla-83-br-div-class-ingradient-maccheroni-trubochky-500gr-div,,19585,,"<br><div class=""ingradient"">MACCHERONI трубочки 500гр</div>",publish,,0,"2020-03-23 06:46:20",2,closed,,,,no,no,,35,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/makarony-barilla-83-br-div-class-ingradient-maccheroni-trubochky-500gr-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > МАКАРОННІ ВИРОБИ|IMPOFOOD - продукти з європи",,,,,
"Макарони TRE MULINI",makarony-tre-mulini-br-div-class-ingradient-penne-1-kg-div,,19586,,"<br><div class=""ingradient""> Penne, 1 кг</div>",publish,,0,"2020-03-23 06:48:25",2,closed,,,,no,no,,44,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/makarony-tre-mulini-br-div-class-ingradient-penne-1-kg-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > МАКАРОННІ ВИРОБИ|IMPOFOOD - продукти з європи",,,,,
"Макарони BARILLA 98",makarony-barilla-98-br-div-class-ingradient-fusilli-spiral-1kg-div,,19587,,"<br><div class=""ingradient"">FUSILLI спіраль, 1кг</div>",publish,,0,"2020-03-23 06:49:25",2,closed,,,,no,no,,70,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/makarony-barilla-98-br-div-class-ingradient-fusilli-spiral-1kg-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > МАКАРОННІ ВИРОБИ|IMPOFOOD - продукти з європи",,,,,
"Макарони REGGIA 109",makarony-reggia-br-div-class-ingradient-cannelloni-109-250g-div,,19588,,"<br><div class=""ingradient"">CANNELLONI, 250г</div>",publish,,0,"2020-03-23 06:51:26",2,closed,,,,no,no,,41,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/makarony-reggia-br-div-class-ingradient-cannelloni-109-250g-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > МАКАРОННІ ВИРОБИ|IMPOFOOD - продукти з європи",,,,,
"Макарони BARILLA",makarony-barilla-br-div-class-ingradient-integrale-spaghetti-500gr-div,,19589,,"<br><div class=""ingradient"">integrale spaghetti 500гр</div>",publish,,0,"2020-03-23 06:53:10",2,closed,,,,no,no,,46,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/makarony-barilla-br-div-class-ingradient-integrale-spaghetti-500gr-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > МАКАРОННІ ВИРОБИ|IMPOFOOD - продукти з європи",,,,,
"Макарони BARILLA",makarony-barilla-br-div-class-ingradient-integrale-penne-rigate-500gr-div,,19591,,"<br><div class=""ingradient"">Integrale PENNE RIGATE, 500гр</div>",publish,,0,"2020-03-23 06:54:24",2,closed,,,,no,no,,46,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/makarony-barilla-br-div-class-ingradient-integrale-penne-rigate-500gr-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > МАКАРОННІ ВИРОБИ|IMPOFOOD - продукти з європи",,,,,
"Хамон SUBIRATS JAMON SERRANO GASнарізка, 100г",hamon-subirats-jamon-serrano-gas-br-div-class-ingradient-narizka-100g-div,,19613,,,publish,,0,"2020-03-23 11:16:43",2,closed,,,,no,no,,70,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tyk-tyk.biz/wp-content/uploads/2020/03/jamon-100.jpg ! alt :  ! title : jamon 100 ! desc :  ! caption : ",,https://tyk-tyk.biz/test-market/hamon-subirats-jamon-serrano-gas-br-div-class-ingradient-narizka-100g-div/,,,,,,,,,60,,,simple,,"IMPOFOOD - продукти з європи > М’ЯСНІ ВИРОБИ|IMPOFOOD - продукти з європи",,,,,
"Хамон SUBIRATS JAMON SERRANO GASнарізка, 250г",hamon-subirats-jamon-serrano-gas-br-div-class-ingradient-narizka-250g-div,,19614,,,publish,,0,"2020-03-23 11:23:30",2,closed,,,,no,no,,161,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://tyk-tyk.biz/wp-content/uploads/2020/03/hamon-subirats-jamon.jpg ! alt :  ! title : _hamon-subirats-jamon ! desc :  ! caption : ",,https://tyk-tyk.biz/test-market/hamon-subirats-jamon-serrano-gas-br-div-class-ingradient-narizka-250g-div/,,,,,,,,,60,,,simple,,"IMPOFOOD - продукти з європи > М’ЯСНІ ВИРОБИ|IMPOFOOD - продукти з європи",,,,,
"Салямі Salchichon Cular Iberico Extraнарізка, 80г",salyami-salchichon-cular-iberico-extra-br-div-class-ingradient-narizka-80g-div,,19615,,,private,,0,"2020-03-23 11:26:03",2,closed,,,,no,no,,79,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/salyami-salchichon-cular-iberico-extra-br-div-class-ingradient-narizka-80g-div/,,,,,,,,,,,,simple,exclude-from-catalog|exclude-from-search,"IMPOFOOD - продукти з європи > М’ЯСНІ ВИРОБИ|IMPOFOOD - продукти з європи",,,,,
"Салямі Chorizo Cular Iberico Extraнарізка, 80г",salyami-chorizo-cular-iberico-extra-br-div-class-ingradient-narizka-80g-div,,19616,,,private,,0,"2020-03-23 11:26:49",2,closed,,,,no,no,,79,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/salyami-chorizo-cular-iberico-extra-br-div-class-ingradient-narizka-80g-div/,,,,,,,,,,,,simple,exclude-from-catalog|exclude-from-search,"IMPOFOOD - продукти з європи > М’ЯСНІ ВИРОБИ|IMPOFOOD - продукти з європи",,,,,
"Паска Santagelo PANETTONE tradizionale",paska-santagelo-panettone-tradizionale-br-div-class-ingradient-500g-div,,19619,,"<br><div class=""ingradient"">500г</div>",publish,,0,"2020-03-23 11:36:40",2,closed,,,,no,no,,115,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/paska-santagelo-panettone-tradizionale-br-div-class-ingradient-500g-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО|IMPOFOOD - продукти з європи",,,,,
"Паска Santagelo PANETTONE alla creme di cacao",paska-santagelo-panettone-alla-creme-di-cacao-br-div-class-ingradient-908g-div,,19623,,"<br><div class=""ingradient"">908г</div>",publish,,0,"2020-03-23 11:37:32",2,closed,,,,no,no,,187,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/paska-santagelo-panettone-alla-creme-di-cacao-br-div-class-ingradient-908g-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО|IMPOFOOD - продукти з європи",,,,,
"Печиво GULLON без глютену ChipChoco",pechyvo-gullon-bez-glyutenu-chipchoco-br-div-class-ingradient-130g-div-c,,19624,,"<br><div class=""ingradient"">130г</div>",publish,,0,"2020-03-23 11:46:06",2,closed,,,,no,no,,35,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/pechyvo-gullon-bez-glyutenu-chipchoco-br-div-class-ingradient-130g-div-c/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО > Печиво|IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО|IMPOFOOD - продукти з європи",,,,,
"Печиво GULLON без глютену Digestive",pechyvo-gullon-bez-glyutenu-digestive-br-div-class-ingradient-150g-div-c,,19626,,"<br><div class=""ingradient"">150г</div>",publish,,0,"2020-03-23 11:46:39",2,closed,,,,no,no,,35,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/pechyvo-gullon-bez-glyutenu-digestive-br-div-class-ingradient-150g-div-c/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО > Печиво|IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО|IMPOFOOD - продукти з європи",,,,,
"Печиво GULLON BIO Avena",pechyvo-gullon-bio-avena-br-div-class-ingradient-250g-div,,19627,,"<br><div class=""ingradient"">250г</div>",publish,,0,"2020-03-23 11:48:04",2,closed,,,,no,no,,64,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/pechyvo-gullon-bio-avena-br-div-class-ingradient-250g-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО > Печиво|IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО|IMPOFOOD - продукти з європи",,,,,
"Печиво GULLON BIO Maria",pechyvo-gullon-bio-maria-br-div-class-ingradient-350g-div,,19628,,"<br><div class=""ingradient"">350г</div>",publish,,0,"2020-03-23 11:48:48",2,closed,,,,no,no,,75,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/pechyvo-gullon-bio-maria-br-div-class-ingradient-350g-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО > Печиво|IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО|IMPOFOOD - продукти з європи",,,,,
"Печиво GULLON Cuor di Cereale Frutta Snack",pechyvo-gullon-cuor-di-cereale-frutta-snack-br-div-class-ingradient-240g-div,,19629,,"<br><div class=""ingradient"">240г</div>",publish,,0,"2020-03-23 11:49:43",2,closed,,,,no,no,,43,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/pechyvo-gullon-cuor-di-cereale-frutta-snack-br-div-class-ingradient-240g-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО > Печиво|IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО|IMPOFOOD - продукти з європи",,,,,
"Печиво GULLON Chocosrar Moment",pechyvo-gullon-chocosrar-moment-br-div-class-ingradient-235g-div,,19630,,"<br><div class=""ingradient"">235г</div>",publish,,0,"2020-03-23 11:50:27",2,closed,,,,no,no,,53,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/pechyvo-gullon-chocosrar-moment-br-div-class-ingradient-235g-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО > Печиво|IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО|IMPOFOOD - продукти з європи",,,,,
"Печиво GULLON BIO Choco Chips",pechyvo-gullon-bio-choco-chips-br-div-class-ingradient-250g-div,,19631,,"<br><div class=""ingradient"">250г</div>",publish,,0,"2020-03-23 11:55:20",2,closed,,,,no,no,,74,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/pechyvo-gullon-bio-choco-chips-br-div-class-ingradient-250g-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО > Печиво|IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО|IMPOFOOD - продукти з європи",,,,,
"Печиво GULLON, без глютену Dibus sharkies",pechyvo-gullon-bez-glyutenu-dibus-sharkies-br-div-class-ingradient-250g-div,,19632,,"<br><div class=""ingradient"">250г</div>",publish,,0,"2020-03-23 11:56:14",2,closed,,,,no,no,,54,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/pechyvo-gullon-bez-glyutenu-dibus-sharkies-br-div-class-ingradient-250g-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО > Печиво|IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО|IMPOFOOD - продукти з європи",,,,,
"Печиво GULLON, Savoiardi Bizcocho",pechyvo-gullon-savoiardi-bizcocho-br-div-class-ingradient-400g-div,,19633,,"<br><div class=""ingradient"">400г</div>",publish,,0,"2020-03-23 11:57:13",2,closed,,,,no,no,,61,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/pechyvo-gullon-savoiardi-bizcocho-br-div-class-ingradient-400g-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО > Печиво|IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО|IMPOFOOD - продукти з європи",,,,,
"Печиво GULLON Duo, сендвіч темний з шоколадним кремом",pechyvo-gullon-duo-sendvich-temnyj-z-shokoladnym-kremom-br-div-class-ingradient-165g-div,,19634,,"<br><div class=""ingradient"">165г</div>",publish,,0,"2020-03-23 11:59:16",2,closed,,,,no,no,,23,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/pechyvo-gullon-duo-sendvich-temnyj-z-shokoladnym-kremom-br-div-class-ingradient-165g-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО > Печиво|IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО|IMPOFOOD - продукти з європи",,,,,
"Печиво GULLON Duo, сендвіч з шоколадним кремом",pechyvo-gullon-duo-sendvich-z-shokoladnym-kremom-br-div-class-ingradient-145g-div,,19635,,"<br><div class=""ingradient"">145г</div>",publish,,0,"2020-03-23 11:59:54",2,closed,,,,no,no,,23,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/pechyvo-gullon-duo-sendvich-z-shokoladnym-kremom-br-div-class-ingradient-145g-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО > Печиво|IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО|IMPOFOOD - продукти з європи",,,,,
"Печиво GULLON Dibus Mini PinyPon",pechyvo-gullon-dibus-mini-pinypon-br-div-class-ingradient-250g-div,,19636,,"<br><div class=""ingradient"">250г</div>",publish,,0,"2020-03-23 12:00:30",2,closed,,,,no,no,,44,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/pechyvo-gullon-dibus-mini-pinypon-br-div-class-ingradient-250g-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО > Печиво|IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО|IMPOFOOD - продукти з європи",,,,,
"Печиво GULLON BIO 4 злаки зі спельтою",pechyvo-gullon-bio-4-zlaky-zi-speltoyu-br-div-class-ingradient-170g-div,,19637,,"<br><div class=""ingradient"">170г</div>",publish,,0,"2020-03-23 12:01:50",2,closed,,,,no,no,,41,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://tyk-tyk.biz/test-market/pechyvo-gullon-bio-4-zlaky-zi-speltoyu-br-div-class-ingradient-170g-div/,,,,,,,,,,,,simple,,"IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО > Печиво|IMPOFOOD - продукти з європи > СОЛОДОЩІ, ПЕЧИВО|IMPOFOOD - продукти з європи",,,,,
